State,County,Dem.04,GOP.04,Dem.08,GOP.08,Dem.12,GOP.12,Dem.16,GOP.16
"NY","Steuben",414,1201,702,941,467,744,2472,309
"NY","Allegany",2321,263,1146,464,607,108,243,977
"NY","Wyoming",2236,202,2274,115,1997,2855,1038,251
"NY","Hamilton",139,1085,1942,2028,1681,1771,1512,220
"OH","Adams",1767,2560,1738,2390,1623,2381,1380,2025
"OH","Allen",556,1440,776,1305,587,1268,958,2691
"OH","Ashland",2619,580,2730,500,2515,524,290,1322
"OH","Ashtabula",1028,893,1079,760,968,722,2030,678
"OH","Athens",729,95,861,2842,616,2625,477,1003
"OH","Auglaize",2186,646,2339,594,2084,649,502,107
"OH","Belmont",630,536,579,529,360,615,1595,747
"OH","Brown",2427,294,2488,244,2350,208,2535,904
"OH","Butler",2120,108,2313,54,2153,20,1732,470
"OH","Carroll",2271,2570,2285,2427,2037,2475,2035,60
"OH","Champaign",2396,199,2461,128,2478,231,1336,2780
"OH","Clark",1459,1523,1409,1451,1318,1370,1786,267
"OH","Clermont",1125,2310,1399,2258,1296,2293,943,1479
"OH","Clinton",2070,319,2304,264,2070,216,1104,2359
"OH","Columbiana",994,1136,922,1098,752,1080,1631,399
"OH","Coshocton",2384,2793,2519,2685,2335,2655,232,1366
"OH","Crawford",2514,396,2601,257,2396,194,1617,53
"OH","Cuyahoga",1829,964,1860,821,1733,751,1792,373
"OH","Darke",2524,737,2563,658,2291,711,1598,741
"OH","Defiance",2398,160,2613,40,2423,2886,1769,851
"OH","Delaware",1183,2089,1576,2075,1543,2207,1963,174
"OH","Erie",877,756,991,664,845,634,1636,2140
"OH","Fairfield",1071,1798,1282,1710,1273,1684,514,823
"OH","Fayette",1782,2514,1802,2429,1696,2327,1017,1776
"OH","Franklin",1262,1038,1470,920,1409,885,1138,2582
"OH","Fulton",2569,380,2807,187,2613,189,1434,818
"OH","Gallia",2060,2716,1913,2619,1477,2214,2099,392
"OH","Geauga",795,1346,885,1257,748,1322,1087,2835
"OH","Greene",1352,1948,1476,1924,1359,1945,611,1308
"OH","Guernsey",2512,2883,2512,2766,2402,2729,1199,1898
"OH","Hamilton",805,967,961,796,835,777,1738,146
"OH","Hancock",32,1108,395,948,212,954,837,670
"OH","Hardin",1943,2696,1980,2536,1802,2496,2631,1045
"OH","Harrison",1594,1800,1581,1628,1277,1657,1236,2711
"OH","Henry",1991,2877,2266,2617,2066,2624,575,1982
"OH","Highland",2249,257,2357,210,2118,127,1541,2791
"OH","Hocking",2248,2429,2255,2285,2177,2268,1455,333
"OH","Holmes",1178,2702,1387,2529,1105,2691,1551,2661
"OH","Huron",61,481,213,305,66,335,648,2715
"OH","Jackson",2140,2719,2077,2614,1939,2556,2293,603
"OH","Jefferson",732,659,662,673,452,644,1349,2844
"OH","Knox",2780,653,103,613,13,651,2637,901
"OH","Lake",2187,2299,2203,2186,2068,2163,2437,776
"OH","Lawrence",209,527,131,528,47,461,1791,2298
"OH","Licking",1329,1966,1489,1876,1398,1803,2251,753
"OH","Logan",2371,452,2559,395,2329,376,1116,1965
"OH","Lorain",2530,2265,2634,2182,2476,2186,1798,576
"OH","Lucas",313,2737,423,2471,278,2402,2192,2349
"OH","Madison",2252,131,2300,64,2310,18,87,2527
"OH","Mahoning",2583,1954,2553,1830,2422,1734,1824,161
"OH","Marion",193,658,294,533,190,427,2022,2050
"OH","Medina",1547,1945,1715,1904,1593,1972,2408,639
"OH","Meigs",1813,2308,1716,2215,1640,2179,1357,2080
"OH","Mercer",1992,541,2160,497,1837,600,887,2417
"OH","Miami",633,1487,713,1444,509,1460,1422,681
"OH","Monroe",1760,1496,1587,1338,1320,1532,293,1569
"OH","Montgomery",398,391,443,303,276,254,562,1908
"OH","Morgan",1267,1626,1297,1486,1207,1382,188,239
"OH","Morrow",2158,54,2235,7,2120,2851,606,1775
"OH","Muskingum",549,968,669,856,555,772,1549,203
"OH","Noble",1161,1659,1063,1488,834,1515,105,1036
"OH","Ottawa",111,239,212,65,119,39,213,1813
"OH","Paulding",1541,2294,1737,2036,1483,2040,2461,274
"OH","Perry",2442,2609,2437,2530,2339,2530,835,2316
"OH","Pickaway",2623,417,2707,426,2690,404,1673,2897
"OH","Pike",2205,2347,2208,2243,2061,2117,2165,634
"OH","Portage",1698,1549,1744,1497,1603,1491,1460,2565
"OH","Preble",2445,385,2389,368,2173,366,1350,1652
"OH","Putnam",1800,438,2055,325,1744,393,1751,559
"OH","Richland",1065,1598,1119,1470,891,1437,1237,510
"OH","Ross",373,664,434,617,367,483,505,1547
"OH","Sandusky",252,582,517,425,379,390,2680,726
"OH","Scioto",580,734,470,634,411,510,2663,613
"OH","Seneca",97,558,315,394,93,357,2554,853
"OH","Shelby",2314,583,2446,567,2189,641,2317,497
"OH","Stark",2746,2785,2778,2684,2597,2713,1690,748
"OH","Summit",496,215,556,153,431,107,2216,2847
"OH","Trumbull",2338,1744,2283,1672,2156,1600,306,124
"OH","Tuscarawas",718,1046,904,852,635,922,1713,1920
"OH","Union",2336,557,2667,549,2588,586,203,1158
"OH","Van Wert",1706,73,2028,2759,1644,2824,2369,714
"OH","Vinton",1158,1437,1056,1317,1010,1231,1133,46
"OH","Warren",1134,2406,1464,2443,1386,2523,339,1621
"OH","Washington",239,684,244,636,130,654,1409,2554
"OH","Wayne",789,1411,916,1271,730,1297,2420,859
"OH","Williams",2311,233,2585,2859,2372,2875,444,1383
"OH","Wood",1299,1473,1503,1287,1372,1279,1739,198
"OH","Wyandot",1569,2492,1825,2265,1660,2246,1119,1388
"OK","Adair",1111,1987,842,1865,856,1804,1047,2514
"OK","Alfalfa",1890,949,1724,837,1214,536,368,1899
"OK","Atoka",766,1384,376,1507,232,1529,889,825
"OK","Beaver",1312,992,1160,929,1032,876,2436,1710
"OK","Beckham",754,2126,570,2154,387,2109,643,857
"OK","Blaine",218,1416,12,1358,2770,1243,2645,2303
"OK","Bryan",2153,2726,1815,2779,1515,2786,2299,1274
"OK","Caddo",1652,2341,1494,2300,1366,2147,1193,62
"OK","Canadian",2767,1462,152,1547,53,1543,1019,2334
"OK","Carter",2307,252,2123,342,1925,269,177,1684
"OK","Cherokee",2633,2835,2426,2763,2202,2629,1657,427
"OK","Choctaw",1150,1399,724,1576,449,1547,1987,2900
"OK","Cimarron",687,275,483,134,145,95,78,1740
"OK","Cleveland",1474,2357,1668,2311,1495,2208,2275,2845
"OK","Coal",202,402,2198,615,2263,665,1610,2292
"OK","Comanche",200,900,409,829,240,704,1685,795
"OK","Cotton",2674,679,2368,701,2284,728,157,810
"OK","Craig",1083,1672,862,1623,631,1538,1721,890
"OK","Creek",2792,768,2605,833,2385,786,256,1764
"OK","Custer",1234,2605,1163,2556,998,2516,2070,953
"OK","Delaware",2113,3,2006,24,1724,8,857,2589
"OK","Dewey",1702,744,1513,735,1324,708,1411,210
"OK","Ellis",1660,633,1232,589,948,566,921,847
"OK","Garfield",2109,700,2109,638,1874,523,499,616
"OK","Garvin",1568,2552,1335,2528,1100,2429,1768,606
"OK","Grady",2199,415,2105,504,1893,493,707,2656
